Date,Total Value
2023-01-03,1000000000.0
2023-01-04,1000000000.0
2023-01-05,1000000000.0
2023-01-06,1000000000.0
2023-01-09,1000000000.0
2023-01-10,1000000000.0
2023-01-11,1000000000.0
2023-01-12,1000000000.0
2023-01-13,1000000000.0
2023-01-16,1000000000.0
2023-01-17,1000000000.0
2023-01-18,1000000000.0
2023-01-19,1000000000.0
2023-01-27,1000000000.0
2023-01-30,1000000000.0
2023-01-31,1000000000.0
2023-02-01,1000000000.0
2023-02-02,1000000000.0
2023-02-03,1000000000.0
2023-02-06,1000000000.0
2023-02-07,1000000000.0
2023-02-08,1000000000.0
2023-02-09,1000000000.0
2023-02-10,1000000000.0
2023-02-13,1000000000.0
2023-02-14,1000000000.0
2023-02-15,1000000000.0
2023-02-16,1000000000.0
2023-02-17,1000000000.0
2023-02-20,1000000000.0
2023-02-21,1000000000.0
2023-02-22,1000000000.0
2023-02-23,1000000000.0
2023-02-24,1000000000.0
2023-02-27,1000000000.0
2023-02-28,1000000000.0
2023-03-01,1000000000.0
2023-03-02,1000000000.0
2023-03-03,1000000000.0
2023-03-06,1000000000.0
2023-03-07,1000000000.0
2023-03-08,1000000000.0
2023-03-09,1000000000.0
2023-03-10,1000000000.0
2023-03-13,1000000000.0
2023-03-14,1000000000.0
2023-03-15,1000000000.0
2023-03-16,1000000000.0
2023-03-17,1000000000.0
2023-03-20,1000000000.0
2023-03-21,1000000000.0
2023-03-22,1000000000.0
2023-03-23,1000000000.0
2023-03-24,1000000000.0
2023-03-27,1000000000.0
2023-03-28,1000000000.0
2023-03-29,1000000000.0
2023-03-30,1000000000.0
2023-03-31,1000000000.0
2023-04-03,1000000000.0
2023-04-04,1000000000.0
2023-04-05,1000000000.0
2023-04-06,1000000000.0
2023-04-07,1000000000.0
2023-04-10,1000000000.0
2023-04-11,1000000000.0
2023-04-12,1000000000.0
2023-04-13,1000000000.0
2023-04-14,1000000000.0
2023-04-17,1000000000.0
2023-04-18,1000000000.0
2023-04-19,1000000000.0
2023-04-20,1000000000.0
2023-04-21,1000000000.0
2023-04-24,1000000000.0
2023-04-25,1000000000.0
2023-04-26,1000000000.0
2023-04-27,1000000000.0
2023-04-28,1000000000.0
2023-05-04,1000000000.0
2023-05-05,1000000000.0
2023-05-08,1000000000.0
2023-05-09,1000000000.0
2023-05-10,1000000000.0
2023-05-11,1000000000.0
2023-05-12,1000000000.0
2023-05-15,1000000000.0
2023-05-16,999500249.8750625
2023-05-17,999178167.9005058
2023-05-18,1002787908.7777568
2023-05-19,1003195127.5118848
2023-05-22,1008970927.9195633
2023-05-23,1010304574.9183089
2023-05-24,1006864865.5723927
2023-05-25,1016829992.3500136
2023-05-26,1019853685.1385527
2023-05-29,1029519002.5516298
2023-05-30,1036366435.3194127
2023-05-31,1038227521.6316166
2023-06-01,1044668498.3768053
2023-06-02,1049126898.8306552
2023-06-05,1060340455.6227193
2023-06-06,1067046330.998953
2023-06-07,1071130825.53189
2023-06-08,1062168445.5239286
2023-06-09,1069373229.5997367
2023-06-12,1087132058.5936034
2023-06-13,1081189652.405044
