Strategy,CAGR (%),Benchmark CAGR (%),Excess CAGR (pp),Max Drawdown (%),Benchmark Max Drawdown (%),Sharpe Ratio,Benchmark Sharpe Ratio,Net Win Rate (%),Gross Win Rate (%),N Closed Positions,First Trade Date,Role (ex-ante)
VGM,24.02,17.93,6.09,-20.99,-18.11,0.98,0.73,54.75,55.2,221.0,2023-05-16,Core
STRAT_VALUE,6.96,17.93,-10.97,-27.54,-18.11,0.19,0.73,43.9,44.72,123.0,2023-05-16,
STRAT_TURNAROUND,15.06,17.93,-2.87,-23.66,-18.11,0.59,0.73,49.17,49.17,120.0,2023-05-16,
STRAT_QUALITY,13.74,17.93,-4.19,-21.1,-18.11,0.56,0.73,54.05,54.05,111.0,2023-05-16,
STRAT_GARP,7.59,17.93,-10.34,-20.63,-18.11,0.25,0.73,57.75,59.15,71.0,2023-05-16,
STRAT_DIVIDEND,17.89,17.93,-0.04,-12.24,-18.11,1.05,0.73,68.37,68.37,98.0,2023-05-16,
STRAT_PIOTROSKI,5.73,17.93,-12.2,-35.2,-18.11,0.13,0.73,44.36,45.11,133.0,2023-05-16,
STRAT_CANSLIM,-1.26,13.9,-15.16,-6.52,-18.11,-2.9,0.53,25.0,25.0,16.0,2023-08-15,
STRAT_GROWTH,11.18,17.93,-6.75,-25.27,-18.11,0.41,0.73,56.79,56.79,81.0,2023-05-16,
STRAT_MAGIC,17.52,17.93,-0.41,-20.61,-18.11,0.7,0.73,59.09,60.23,88.0,2023-05-16,Defensive
STRAT_NCN,14.88,17.93,-3.05,-26.32,-18.11,0.6,0.73,60.91,61.82,110.0,2023-05-16,
STRAT_ADX_MOMENTUM,14.3,17.93,-3.63,-24.09,-18.11,0.5,0.73,51.27,51.27,236.0,2023-05-16,Aggressive
"VN-Index (Benchmark, full period, KHÔNG dùng để so sánh trực tiếp)",16.67,16.67,0.0,-18.11,-18.11,0.68,0.68,,,,2023-01-03,Benchmark
