Ticker,Exit Date,Entry Price,Exit Price,Gross PnL (%),Net PnL (%)
SGR,2023-11-15,23636.5310453838,16141.0539185758,-31.711409395973362,-31.847918322718037
FPT,2024-05-16,75144.1279794809,97831.8743117472,30.19230769230764,29.932053204167115
TVC,2024-08-15,9600.0,9600.0,0.0,-0.19990004997500113
VFG,2024-08-15,59560.2806468193,56693.2448448967,-4.813670739605073,-5.003948259365966
NTL,2024-11-15,20264.3828310371,17012.64845,-16.046550285541954,-16.21437327347689
NTP,2024-11-15,41142.2937332578,38016.7551395685,-7.596899224806074,-7.781613069434138
TVC,2025-02-17,10100.0,9300.0,-7.920792079207921,-8.104858461858162
DTD,2025-02-17,20312.2395208292,17128.9781033858,-15.671641791044857,-15.84021422124765
GMD,2025-02-17,61882.4344507068,57650.3530672998,-6.838905775075988,-7.025134848988869
FPT,2025-02-17,111924.687248199,120870.380721533,7.992600822280117,7.7767235592670705
NTP,2025-05-16,41657.1093319265,47207.0376911957,13.322884012539177,13.096351510765006
L40,2026-05-18,33318.1485,31363.605,-5.866302864938619,-6.054476172554919
TAL,2026-05-18,33236.2651305655,32528.357460053,-2.1299254526089286,-2.325567780539732
FOX,2026-08-17,85800.0,63200.0,-26.340326340326342,-26.48757206478345
DRI,2026-08-27,14774.15260041838,14200.0,-3.886196494289092,-4.078328035529885
VGI,2026-08-27,83800.0,87700.0,4.6539379474940334,4.444734673236195
