Ticker,Exit Date,Entry Price,Exit Price,Gross PnL (%),Net PnL (%)
TNH,2023-08-15,16557.0524297429,16005.1506820848,-3.333333333333349,-3.5265700483091926
MCH,2023-08-15,32504.4771987942,39375.6460328742,21.1391458230711,20.896988610031496
VNM,2023-08-15,56621.4638211926,61107.1109671,7.922167395870979,7.70643092931253
DBD,2023-08-15,32733.2668416,38509.725696,17.64705882352941,17.411882294147045
FPT,2023-08-15,50108.1801518255,59991.658501312,19.724281184309646,19.48495228639001
PAT,2023-11-15,56300.40689018724,70226.2297919177,24.734853033819977,24.48550800026912
NTC,2023-11-15,111613.40462906,172329.681867283,54.398732338655634,54.09008919554989
VSH,2023-11-15,32522.138085459654,36399.0130245992,11.920725903543401,11.696996316529825
VHM,2023-11-15,25269.72457957709,19957.408175,-21.022454707996648,-21.18033086050438
SGR,2023-11-15,13880.513197792501,16141.0539185758,16.28571428571392,16.05325908474299
PHR,2023-11-15,37129.82683424082,43493.76571209,17.139694473286383,16.90553216549371
REE,2023-11-15,37189.7805461597,36620.5410652447,-1.5306341488314592,-1.7274744603779997
SBA,2023-11-15,19508.4003066734,20678.0688475446,5.995717344753695,5.783831852810169
CHP,2023-11-15,17100.914490214,17610.303432476,2.978723404257119,2.7728688847083958
SHP,2023-11-15,22389.6509903991,22762.8039909963,1.6666316092073672,1.463399961812669
DP3,2023-11-15,56390.9702637061,54682.1529829877,-3.03030303030308,-3.2241455030061137
ANV,2024-02-15,14400.6940012363,14853.6959648513,3.1456953642380756,2.9395070676579085
BMP,2024-02-15,70993.1587796403,82237.8210355046,15.839078650898244,15.607516274784514
CSV,2024-02-15,14738.1699576752,20363.4256667115,38.16793893129747,37.89174115232438
DHC,2024-02-15,27938.7388857021,28574.4503301093,2.2753763045923683,2.070927776247369
DRC,2024-02-15,15476.3347756669,22131.0158983934,42.99907710183104,42.71322187524069
FPT,2024-02-15,66762.6675510003,75144.1279794809,12.554112554112615,12.329116826868024
GAS,2024-02-15,68780.1885298101,65002.0008952138,-5.493133583021202,-5.682052856218559
HD6,2024-02-15,16332.6126102216,15082.6677676026,-7.653061224489802,-7.837662801252431
MSH,2024-02-15,18962.9685933296,22190.9850216705,17.022737829542088,16.788809318138735
